metro,alltime_unique_users,alltime_avg_score,users_2024_avg,users_2025plus_avg,users_delta,users_growth_pct,score_2024_avg,score_2025plus_avg,score_delta,adoption_trend,months_2025plus,first_period,last_period
Raleigh-Durham-Chapel Hill Area,540,59.67,27.00,44.47,17.47,64.7,66.05,76.32,10.27,growing,15,2021-01-01,2026-03-01
"New Orleans, Louisiana Area",98,131.09,5.25,8.60,3.35,63.8,52.25,195.18,142.93,growing,15,2021-01-01,2026-03-01
"Portland, Maine Area",33,16.85,1.57,2.57,1.00,63.6,4.38,6.64,2.26,growing,14,2021-01-01,2026-03-01
"Cincinnati, Ohio Area",153,32.84,6.83,11.13,4.30,62.9,17.59,34.19,16.60,growing,15,2021-01-01,2026-03-01
"Indianapolis, Indiana Area",160,51.74,7.67,12.33,4.67,60.9,48.29,51.68,3.39,growing,15,2021-01-01,2026-03-01
Northwest Arkansas Area,45,23.11,2.09,3.36,1.27,60.6,6.90,22.76,15.86,growing,14,2021-01-01,2026-03-01
"Manchester, New Hampshire Area",11,20.71,1.00,1.57,0.57,57.1,3.08,19.61,16.52,growing,7,2021-03-01,2026-03-01
Nashville Metropolitan Area,214,60.60,10.00,15.67,5.67,56.7,25.86,93.10,67.24,growing,15,2021-01-01,2026-03-01
"Las Vegas, Nevada Area",177,35.29,10.25,15.93,5.68,55.4,28.75,42.19,13.44,growing,15,2021-02-01,2026-03-01
"Pensacola, Florida Area",20,5.09,1.14,1.73,0.58,51.1,1.93,7.48,5.55,growing,11,2021-02-01,2026-03-01
"Montgomery, Alabama Area",8,59.70,1.00,1.50,0.50,50.0,50.33,87.52,37.19,growing,8,2021-09-01,2026-02-01
Dallas-Fort Worth Metroplex,929,66.77,54.92,82.00,27.08,49.3,46.42,90.95,44.53,growing,15,2021-01-01,2026-03-01
"Louisville, Kentucky Area",74,51.57,5.42,8.00,2.58,47.7,43.01,67.27,24.26,growing,15,2021-01-01,2026-03-01
"Orlando, Florida Area",285,63.19,15.50,22.67,7.17,46.2,36.45,87.85,51.40,growing,15,2021-01-01,2026-03-01
"Portland, Oregon Area",536,221.98,28.75,42.00,13.25,46.1,35.44,75.60,40.16,growing,15,2021-01-01,2026-03-01
Denver Metropolitan Area,1022,57.94,55.33,80.47,25.13,45.4,54.71,53.92,-0.79,growing,15,2021-01-01,2026-03-01
Miami-Fort Lauderdale Area,536,97.72,31.67,45.93,14.27,45.1,107.96,116.91,8.94,growing,15,2021-01-01,2026-03-01
"Boise, Idaho Area",81,18.25,3.82,5.53,1.72,44.9,10.69,12.65,1.95,growing,15,2021-01-01,2026-03-01
"Spokane, Washington Area",42,25.50,2.17,3.13,0.97,44.6,19.23,38.58,19.35,growing,15,2021-07-01,2026-03-01
"San Antonio, Texas Area",135,52.86,7.42,10.60,3.18,42.9,48.41,27.43,-20.98,growing,15,2021-01-01,2026-03-01
"Wilmington, North Carolina Area",14,13.37,1.33,1.90,0.57,42.5,3.21,18.90,15.69,growing,10,2022-09-01,2026-02-01
"Salt Lake City, Utah Area",348,47.22,18.42,26.07,7.65,41.5,25.80,64.24,38.44,growing,15,2021-01-01,2026-03-01
"Omaha, Nebraska Area",85,19.00,4.25,6.00,1.75,41.2,6.06,30.67,24.61,growing,15,2021-01-01,2026-03-01
"Sacramento, California Area",207,39.29,12.50,17.53,5.03,40.3,52.21,40.76,-11.45,growing,15,2021-01-01,2026-03-01
"Des Moines, Iowa Area",39,23.37,1.75,2.43,0.68,38.8,21.25,33.32,12.07,growing,14,2021-02-01,2026-03-01
"Winston-Salem, North Carolina Area",13,11.30,1.29,1.78,0.49,38.3,11.14,8.86,-2.28,growing,9,2022-12-01,2025-12-01
"Jackson, Mississippi Area",5,199.65,1.00,1.38,0.38,37.5,2.75,323.31,320.56,growing,8,2022-09-01,2026-02-01
Tampa Bay Area,274,44.55,17.00,23.33,6.33,37.3,49.92,41.73,-8.19,growing,15,2021-01-01,2026-03-01
Greater Atlanta Area,1017,59.03,57.17,78.33,21.17,37.0,58.20,66.28,8.08,growing,15,2021-01-01,2026-03-01
"Austin, Texas Area",1220,210.17,75.92,103.53,27.62,36.4,49.50,519.84,470.34,growing,15,2021-01-01,2026-03-01
"Fargo, North Dakota Area",18,32.83,1.20,1.64,0.44,36.4,36.20,42.91,6.71,growing,11,2021-11-01,2026-03-01
Greater Houston Area,604,45.85,34.50,47.00,12.50,36.2,22.22,62.22,40.00,growing,15,2021-01-01,2026-03-01
"Columbus, Ohio Area",253,197.62,15.42,20.93,5.52,35.8,221.84,247.95,26.11,growing,15,2021-01-01,2026-03-01
"Memphis, Tennessee Area",57,9.87,1.82,2.46,0.64,35.4,3.19,10.00,6.81,growing,13,2021-01-01,2026-03-01
"Tucson, Arizona Area",84,35.00,4.58,6.20,1.62,35.3,23.10,17.11,-5.99,growing,15,2021-01-01,2026-03-01
"Fresno, California Area",23,42.99,2.22,3.00,0.78,35.0,43.88,57.43,13.55,growing,14,2021-04-01,2026-03-01
Hampton Roads Area,52,22.14,2.33,3.13,0.80,34.3,11.95,23.11,11.16,growing,15,2021-01-01,2026-03-01
Greater Seattle Area,2606,230.74,155.58,206.53,50.95,32.7,344.12,271.69,-72.44,growing,15,2021-01-01,2026-03-01
"Milwaukee, Wisconsin Area",99,42.40,4.58,6.08,1.49,32.6,12.57,14.81,2.24,growing,13,2021-01-01,2026-03-01
"Gainesville, Florida Area",70,51.64,3.83,5.07,1.23,32.2,24.96,14.74,-10.22,growing,15,2021-01-01,2026-03-01
Greater Chicago Area,1388,139.14,86.92,114.40,27.48,31.6,113.67,222.62,108.95,growing,15,2021-01-01,2026-03-01
"Hartford, Connecticut Area",96,26.05,6.92,9.07,2.15,31.1,12.46,42.19,29.73,growing,15,2021-01-01,2026-03-01
"Madison, Wisconsin Area",173,121.66,9.17,11.93,2.77,30.2,57.54,104.66,47.12,growing,15,2021-01-01,2026-03-01
"Philadelphia, Pennsylvania Area",622,103.66,37.08,48.13,11.05,29.8,161.15,48.62,-112.53,growing,15,2021-01-01,2026-03-01
Greater Boston Area,1900,142.96,118.50,153.07,34.57,29.2,160.50,234.71,74.22,growing,15,2021-01-01,2026-03-01
Greater New York City Area,3103,81.54,184.33,237.87,53.53,29.0,79.90,83.87,3.97,growing,15,2021-01-01,2026-03-01
"Lancaster, Pennsylvania Area",12,13.67,1.00,1.29,0.29,28.6,1.17,30.93,29.76,growing,7,2021-04-01,2026-02-01
"Missoula, Montana Area",38,55.12,1.91,2.43,0.52,27.2,150.80,18.61,-132.19,growing,14,2021-04-01,2026-03-01
"Fort Collins, Colorado Area",38,61.61,2.11,2.67,0.56,26.3,71.15,25.85,-45.30,growing,12,2021-07-01,2026-03-01
Greater Los Angeles Area,2156,75.92,130.25,164.20,33.95,26.1,58.31,118.30,59.99,growing,15,2021-01-01,2026-03-01
"Phoenix, Arizona Area",374,64.02,22.75,28.53,5.78,25.4,59.44,82.94,23.50,growing,15,2021-01-01,2026-03-01
"Billings, Montana Area",9,4.83,1.00,1.25,0.25,25.0,1.63,21.88,20.25,growing,4,2022-02-01,2025-08-01
"Tulsa, Oklahoma Area",102,69.14,8.42,10.47,2.05,24.4,95.61,22.30,-73.31,growing,15,2021-01-01,2026-03-01
"Charlotte, North Carolina Area",259,59.77,15.75,19.47,3.72,23.6,56.78,58.86,2.09,growing,15,2021-01-01,2026-03-01
"San Diego, California Area",738,96.24,41.17,50.80,9.63,23.4,150.44,59.14,-91.29,growing,15,2021-01-01,2026-03-01
Washington DC-Baltimore Area,980,187.14,64.00,78.67,14.67,22.9,273.46,241.18,-32.28,growing,15,2021-01-01,2026-03-01
Detroit Metropolitan Area,476,31.02,30.17,37.00,6.83,22.7,44.62,38.31,-6.31,growing,15,2021-01-01,2026-03-01
"Oklahoma City, Oklahoma Area",88,29.79,5.42,6.64,1.23,22.6,60.17,28.60,-31.57,growing,14,2021-05-01,2026-03-01
"Albuquerque, New Mexico Area",47,26.70,3.00,3.67,0.67,22.2,18.89,25.83,6.94,growing,15,2021-05-01,2026-03-01
"Orange County, California Area",388,44.37,25.08,30.40,5.32,21.2,47.82,38.44,-9.37,growing,15,2021-01-01,2026-03-01
"Huntsville, Alabama Area",53,22.34,3.92,4.73,0.82,20.9,19.33,27.22,7.89,growing,15,2021-11-01,2026-03-01
"Grand Rapids, Michigan Area",75,44.35,4.00,4.80,0.80,20.0,71.25,22.29,-48.96,growing,15,2021-06-01,2026-03-01
"Harrisburg, Pennsylvania Area",15,16.16,1.25,1.50,0.25,20.0,2.25,28.16,25.91,growing,8,2021-11-01,2026-03-01
"Greensboro, North Carolina Area",17,10.40,1.38,1.64,0.26,19.0,8.00,14.47,6.47,growing,11,2022-06-01,2026-03-01
San Francisco Bay Area,6871,174.68,528.58,626.87,98.28,18.6,206.72,230.05,23.33,growing,15,2021-01-01,2026-03-01
"Casper, Wyoming Area",21,17.78,1.60,1.88,0.28,17.2,17.18,43.92,26.73,growing,8,2021-05-01,2026-03-01
"Tallahassee, Florida Area",25,12.85,2.22,2.50,0.28,12.5,13.77,13.30,-0.47,growing,12,2021-03-01,2026-03-01
"Albany, New York Area",59,29.21,3.25,3.64,0.39,12.1,22.59,14.39,-8.20,growing,14,2021-02-01,2026-03-01
"Columbia, South Carolina Area",32,20.37,2.27,2.53,0.26,11.5,6.20,24.73,18.53,growing,15,2021-05-01,2026-03-01
"Chattanooga, Tennessee Area",44,83.06,3.00,3.33,0.33,11.1,18.22,311.66,293.45,growing,15,2021-03-01,2026-03-01
"Little Rock, Arkansas Area",22,14.43,1.50,1.67,0.17,11.1,3.38,18.19,14.82,growing,12,2021-09-01,2026-03-01
"Peoria, Illinois Area",12,16.15,1.25,1.38,0.13,10.0,3.04,2.30,-0.74,growing,8,2022-05-01,2026-02-01
"Mobile, Alabama Area",9,82.94,1.20,1.31,0.11,9.0,33.93,42.10,8.16,growing,13,2021-01-01,2026-03-01
"Burlington, Vermont Area",32,35.70,2.45,2.64,0.19,7.7,18.87,15.72,-3.14,growing,14,2021-02-01,2026-03-01
Buffalo-Niagara Falls Area,92,35.74,5.58,6.00,0.42,7.5,13.17,27.02,13.85,growing,15,2021-02-01,2026-03-01
Minneapolis-St. Paul Area,313,59.80,20.42,21.93,1.52,7.4,28.74,52.65,23.91,growing,15,2021-01-01,2026-03-01
"Pittsburgh, Pennsylvania Area",580,47.27,41.33,43.33,2.00,4.8,39.84,72.61,32.77,growing,15,2021-01-01,2026-03-01
"Toledo, Ohio Area",18,12.64,1.57,1.64,0.07,4.5,13.37,17.45,4.08,growing,14,2021-04-01,2026-03-01
"Richmond, Virginia Area",109,40.62,7.83,7.87,0.03,0.4,63.56,55.59,-7.97,growing,15,2021-01-01,2026-03-01
"Roanoke, Virginia Area",8,6.39,1.00,1.00,0.00,0.0,3.50,10.14,6.64,flat,7,2022-01-01,2026-02-01
"Kalamazoo, Michigan Area",4,11.80,1.00,1.00,0.00,0.0,2.00,18.67,16.67,flat,3,2023-05-01,2026-01-01
"Cheyenne, Wyoming Area",3,198.25,1.00,1.00,0.00,0.0,128.00,2.50,-125.50,flat,2,2023-12-01,2026-03-01
"Rockford, Illinois Area",3,4.78,1.00,1.00,0.00,0.0,1.00,6.67,5.67,flat,6,2023-01-01,2025-12-01
"Anchorage, Alaska Area",17,75.04,1.91,1.89,-0.02,-1.1,40.52,30.08,-10.44,falling,9,2021-02-01,2026-02-01
"Rochester, New York Area",141,31.16,9.83,9.40,-0.43,-4.4,29.13,20.35,-8.78,falling,15,2021-01-01,2026-03-01
"Bakersfield, California Area",14,17.86,1.14,1.00,-0.14,-12.5,11.93,1.42,-10.51,falling,6,2021-01-01,2026-03-01
"Santa Fe, New Mexico Area",24,12.22,2.44,2.00,-0.44,-18.2,6.12,6.87,0.75,falling,14,2021-08-01,2026-03-01
"Sioux Falls, South Dakota Area",10,49.36,1.57,1.00,-0.57,-36.4,3.43,3.00,-0.43,falling,4,2022-02-01,2025-09-01
"Springfield, Illinois Area",8,8.56,2.10,1.27,-0.83,-39.4,3.93,9.86,5.94,falling,11,2022-01-01,2026-03-01
Scranton-Wilkes-Barre Area,8,17.17,1.67,1.00,-0.67,-40.0,2.50,38.06,35.56,falling,8,2021-01-01,2026-03-01
Quad Cities Area,4,2.17,,1.00,,,,2.20,,new_since_2025,5,2021-06-01,2026-03-01
