rank,metro_area,metro_type,ai_literate_users,avg_score_per_user,centroid_lat,centroid_lon
75,"Bloomington, IN",Metropolitan,57,99.1,39.2347,-86.6759
76,"Huntsville, AL",Metropolitan,56,442.47,34.7832,-86.7346
77,"Worcester, MA",Metropolitan,56,62.92,42.3514,-71.9077
78,"Lansing-East Lansing, MI",Metropolitan,56,143.45,42.7133,-84.607
79,"Birmingham, AL",Metropolitan,55,10.95,33.4638,-86.8139
80,"Urban Honolulu, HI",Metropolitan,55,70.9,23.7186,-164.7367
81,"Santa Cruz-Watsonville, CA",Metropolitan,54,153.28,37.0216,-122.0098
82,"Des Moines-West Des Moines, IA",Metropolitan,54,223.22,41.5757,-93.7618
83,"Charlottesville, VA",Metropolitan,54,78.5,37.9501,-78.5929
84,"Syracuse, NY",Metropolitan,52,25.15,43.201,-76.077
85,"Colorado Springs, CO",Metropolitan,52,22.25,38.8426,-104.6579
86,"Dayton-Kettering-Beavercreek, OH",Metropolitan,48,30.64,39.8295,-84.1419
87,"Hartford-West Hartford-East Hartford, CT",Metropolitan,47,66.9,41.6874,-72.5458
88,"Fayetteville-Springdale-Rogers, AR",Metropolitan,46,106.94,36.1083,-94.0755
89,"Omaha, NE-IA",Metropolitan,46,34.7,41.2901,-95.9991
90,"State College, PA",Metropolitan,45,95.7,40.919,-77.82
91,"Chattanooga, TN-GA",Metropolitan,44,230.3,35.052,-85.3601
92,"Fort Collins-Loveland, CO",Metropolitan,43,79.5,40.6664,-105.4611
93,"Spokane-Spokane Valley, WA",Metropolitan,42,36.45,48.0811,-117.6708
94,"Salina, KS",Micropolitan,42,84.9,38.9586,-97.6501
95,"South Bend-Mishawaka, IN-MI",Metropolitan,42,164.73,41.7736,-86.1341
96,"Baton Rouge, LA",Metropolitan,42,168.24,30.5173,-91.127
97,"Lincoln, NE",Metropolitan,40,32.8,40.8199,-96.8708
98,"Portland-South Portland, ME",Metropolitan,39,56.6,43.653,-70.4169
99,"North Port-Bradenton-Sarasota, FL",Metropolitan,39,52.05,27.3274,-82.4136
100,"Iowa City, IA",Metropolitan,38,187.3,41.5113,-91.65
101,"Missoula, MT",Metropolitan,38,113.1,47.0718,-114.2665
102,"Reno, NV",Metropolitan,37,48.57,40.2588,-119.5532
103,"Laramie, WY",Micropolitan,36,625.4,41.6545,-105.7239
104,"Beaumont-Port Arthur, TX",Metropolitan,36,63.6,30.0765,-94.2014
105,"Asheville, NC",Metropolitan,36,75.85,35.6172,-82.571
106,"Little Rock-North Little Rock-Conway, AR",Metropolitan,35,22.93,34.7573,-92.3972
107,"Bridgeport-Stamford-Danbury, CT",Metropolitan,35,43.79,41.2553,-73.383
108,"Akron, OH",Metropolitan,34,43.28,41.1487,-81.3495
109,"Columbia, SC",Metropolitan,33,26.9,34.0918,-81.0424
110,"Bend, OR",Metropolitan,33,27.1,44.1663,-120.8839
111,"Burlington-South Burlington, VT",Metropolitan,32,114.9,44.6868,-73.0315
112,"Eugene-Springfield, OR",Metropolitan,32,174.4,43.9416,-122.8766
113,"Olympia-Lacey-Tumwater, WA",Metropolitan,32,32.45,46.9296,-122.8323
114,"Ames, IA",Metropolitan,31,107.2,42.0364,-93.6983
115,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,31,73.7,40.7894,-75.4039
116,"Lexington-Fayette, KY",Metropolitan,31,56.65,38.0905,-84.4331
117,"Salem, OR",Metropolitan,31,883.28,44.9034,-122.9033
118,"Amherst Town-Northampton, MA",Metropolitan,29,19.27,42.3402,-72.6638
119,"San Luis Obispo-Paso Robles, CA",Metropolitan,28,40.83,35.3874,-120.4522
120,"Fort Wayne, IN",Metropolitan,28,75.3,41.0054,-85.2168
121,"Wichita, KS",Metropolitan,27,92.62,37.6387,-97.2454
122,"Springfield, MO",Metropolitan,27,36.77,37.3617,-93.1771
123,"Fresno, CA",Metropolitan,27,36.72,36.88,-119.6793
124,"Greensboro-High Point, NC",Metropolitan,26,16.7,36.0259,-79.7916
125,"Bellingham, WA",Metropolitan,26,43.2,48.8296,-121.8728
126,"Lubbock, TX",Metropolitan,26,42.3,33.4636,-101.8807
127,"Bakersfield-Delano, CA",Metropolitan,25,123.47,35.3426,-118.73
128,"Tallahassee, FL",Metropolitan,25,40.1,30.3491,-84.2757
129,"Talladega-Sylacauga, AL",Micropolitan,25,255.1,33.1733,-86.204
130,"Miami, OK",Micropolitan,24,55.8,36.8355,-94.8104
131,"Santa Fe, NM",Metropolitan,24,44.3,35.5069,-105.9763
132,"Silver City, NM",Micropolitan,22,39.1,32.739,-108.3825
133,"Beckley, WV",Metropolitan,22,687.7,37.9062,-81.1609
134,"Corvallis, OR",Metropolitan,22,100.4,44.4918,-123.4292
135,"Manchester-Nashua, NH",Metropolitan,22,133.7,42.9153,-71.7161
136,"Pensacola-Ferry Pass-Brent, FL",Metropolitan,22,10.47,30.605,-87.1569
137,"Fargo, ND-MN",Metropolitan,22,58.0,46.9178,-96.9655
138,"Harrisburg-Carlisle, PA",Metropolitan,22,26.3,40.3267,-77.1012
139,"Oxnard-Thousand Oaks-Ventura, CA",Metropolitan,21,21.5,34.3571,-119.126
140,"Bozeman, MT",Metropolitan,21,47.9,45.5404,-111.1704
141,"Casper, WY",Metropolitan,21,49.1,42.9622,-106.7985
142,"Odessa, TX",Metropolitan,21,49.7,31.8692,-102.5427
143,"El Paso, TX",Metropolitan,21,10.7,31.5131,-105.541
144,"Toledo, OH",Metropolitan,21,35.98,41.5406,-83.6934
145,"Palm Bay-Melbourne-Titusville, FL",Metropolitan,21,127.35,28.3003,-80.7012
146,"Yakima, WA",Metropolitan,21,184.4,46.457,-120.7385
147,"Ogden, UT",Metropolitan,20,25.16,41.119,-111.8702
148,"Columbia, MO",Metropolitan,19,312.3,38.9838,-92.5793
149,"Kennewick-Richland, WA",Metropolitan,18,18.02,46.3636,-119.2543
150,"Cape Coral-Fort Myers, FL",Metropolitan,18,15.15,26.5635,-81.9848
151,"Panama City-Panama City Beach, FL",Metropolitan,18,237.4,30.2743,-85.6427
152,"Lawrence, KS",Metropolitan,18,126.6,38.8847,-95.2926
153,"Kiryas Joel-Poughkeepsie-Newburgh, NY",Metropolitan,18,87.73,41.5828,-74.0256
154,"Lafayette, LA",Metropolitan,17,77.3,30.019,-92.1334
155,"Youngstown-Warren, OH",Metropolitan,17,11.57,41.1962,-80.7673
156,"Visalia, CA",Metropolitan,17,313.9,36.2202,-118.8005
157,"Lewiston-Auburn, ME",Metropolitan,17,58.0,44.1658,-70.2064
158,"Anchorage, AK",Metropolitan,17,317.8,62.2244,-149.5544
159,"Mankato, MN",Metropolitan,16,71.6,44.1544,-94.1356
160,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan,16,32.17,29.1799,-81.1898
161,"Winston-Salem, NC",Metropolitan,16,183.6,36.0767,-80.3458
162,"Peoria, IL",Metropolitan,15,36.67,40.7892,-89.5159
163,"Lakeland-Winter Haven, FL",Metropolitan,15,13.43,27.9489,-81.6977
164,"Hilo-Kailua, HI",Micropolitan,15,28.35,19.6024,-155.5229
165,"Salinas, CA",Metropolitan,15,132.5,36.2398,-121.3089
166,"Wilmington, NC",Metropolitan,14,28.6,34.2521,-78.0386
167,"Merced, CA",Metropolitan,14,20.4,37.1919,-120.7177
168,"Logan, UT-ID",Metropolitan,14,648.4,41.8896,-111.769
169,"Athens-Clarke County, GA",Metropolitan,14,123.0,33.949,-83.2138
170,"Lancaster, PA",Metropolitan,14,27.77,40.0424,-76.2477
171,"Savannah, GA",Metropolitan,14,51.4,32.1069,-81.2713
172,"Tuscaloosa, AL",Metropolitan,13,84.65,33.1098,-87.7645
173,"Galesburg, IL",Micropolitan,13,17.8,40.9318,-90.2132
174,"Utica-Rome, NY",Metropolitan,13,10.8,43.3372,-75.1814
175,"Waterbury-Shelton, CT",Metropolitan,13,62.74,41.5232,-73.086
176,"Lynchburg, VA",Metropolitan,13,6.3,37.365,-79.2197
177,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan,13,72.12,47.6396,-122.6492
178,"Rochester, MN",Metropolitan,12,358.4,43.956,-92.3381
179,"Flagstaff, AZ",Metropolitan,12,44.6,35.8387,-111.7705
180,"Macon-Bibb County, GA",Metropolitan,12,51.3,32.8577,-83.7149
181,"Parkersburg-Vienna, WV",Metropolitan,12,12.1,39.1388,-81.4627
182,"Erie, PA",Metropolitan,12,66.1,42.1175,-80.0982
183,"Morgantown, WV",Metropolitan,12,55.6,39.5273,-79.8045
184,"Binghamton, NY",Metropolitan,11,22.55,42.1645,-76.0251
185,"Roanoke, VA",Metropolitan,11,460.6,37.2861,-79.9466
186,"Vallejo, CA",Metropolitan,11,8.57,38.2669,-121.94
187,"Bloomington, IL",Metropolitan,11,45.15,40.4909,-88.8473
188,"Idaho Falls, ID",Metropolitan,11,89.0,43.6225,-112.4279
189,"Jackson, MS",Metropolitan,11,193.47,32.4277,-90.136
190,"Chico, CA",Metropolitan,11,34.4,39.6669,-121.6007
191,"Davenport-Moline-Rock Island, IA-IL",Metropolitan,11,120.86,41.3969,-90.4659
192,"Pullman, WA",Micropolitan,10,72.8,46.9012,-117.5231
193,"Durango, CO",Micropolitan,10,71.3,37.2866,-107.8433
194,"Columbus, GA-AL",Metropolitan,10,43.3,32.4182,-84.8439
195,"Terre Haute, IN",Metropolitan,10,115.8,39.3919,-87.344
196,"Bartlesville, OK",Micropolitan,10,105.9,36.7152,-95.9044
197,"Muskogee, OK",Micropolitan,10,22.5,35.6161,-95.3795
198,"Augusta-Richmond County, GA-SC",Metropolitan,10,30.95,33.461,-81.9829
199,"Santa Rosa-Petaluma, CA",Metropolitan,10,49.38,38.5254,-122.9227
200,"Las Cruces, NM",Metropolitan,10,356.6,32.3526,-106.8327
201,"Scranton--Wilkes-Barre, PA",Metropolitan,10,25.85,41.3232,-75.8957
202,"Auburn-Opelika, AL",Metropolitan,10,21.85,32.4939,-85.5236
203,"Gainesville, GA",Metropolitan,10,19.2,34.3171,-83.8196
204,"Mobile, AL",Metropolitan,10,334.8,30.6852,-88.1975
205,"Sioux Falls, SD-MN",Metropolitan,10,108.6,43.5273,-96.8739
206,"Monroe, MI",Metropolitan,10,65.9,41.9214,-83.4943
207,"Shreveport-Bossier City, LA",Metropolitan,10,212.1,32.4388,-93.7451
208,"Billings, MT",Metropolitan,9,12.9,45.64,-108.8219
209,"McAllen-Edinburg-Mission, TX",Metropolitan,9,16.35,26.3967,-98.1811
210,"Waco, TX",Metropolitan,9,32.8,31.5945,-97.2829
211,"Bowling Green, KY",Metropolitan,9,6.1,37.0387,-86.4071
212,"Burlington, NC",Metropolitan,9,16.5,36.0437,-79.3994
213,"Cedar Rapids, IA",Metropolitan,9,826.65,42.0915,-91.6313
214,"Corpus Christi, TX",Metropolitan,9,17.15,27.8928,-97.4013
215,"Coeur d'Alene, ID",Metropolitan,9,5.83,47.6744,-116.7018
216,"Fairbanks-College, AK",Metropolitan,9,33.4,64.8078,-146.5654
217,"Stockton-Lodi, CA",Metropolitan,9,7.76,37.9348,-121.2714
218,"St. George, UT",Metropolitan,9,325.0,37.2804,-113.5047
219,"Stillwater, OK",Micropolitan,9,24.2,36.0773,-96.9756
220,"Port St. Lucie, FL",Metropolitan,9,15.77,27.2247,-80.421
221,"Montgomery, AL",Metropolitan,8,171.6,32.3606,-86.4032
222,"Redding, CA",Metropolitan,8,5.7,40.7638,-122.0405
223,"Green Bay, WI",Metropolitan,8,68.3,44.6988,-87.8251
224,"Mount Pleasant, TX",Micropolitan,8,11.1,33.1309,-94.9007
225,"Longview, TX",Metropolitan,8,32.0,32.4311,-94.6752
226,"Kingston, NY",Metropolitan,8,19.9,41.8881,-74.2586
227,"Hattiesburg, MS",Metropolitan,8,97.9,31.1874,-89.2287
228,"San Angelo, TX",Metropolitan,8,26.7,31.3637,-100.673
229,"Cedar City, UT",Micropolitan,8,11.7,37.8592,-113.2895
230,"Flint, MI",Metropolitan,8,12.55,43.0217,-83.7067
231,"Springfield, IL",Metropolitan,8,42.8,39.8296,-89.6969
232,"Duluth, MN-WI",Metropolitan,8,14.95,47.3185,-92.3928
233,"Amarillo, TX",Metropolitan,8,12.6,35.2489,-101.9095
234,"Sebring, FL",Metropolitan,7,3.5,27.3434,-81.341
235,"Morristown, TN",Metropolitan,7,191.6,36.1107,-83.3818
236,"Harrisonburg, VA",Metropolitan,7,26.6,38.5105,-78.8757
237,"Manhattan, KS",Metropolitan,7,17.9,39.2714,-96.5594
238,"Sioux City, IA-NE-SD",Metropolitan,7,1080.8,42.5189,-96.3088
239,"Mexico, MO",Micropolitan,7,18.6,39.2158,-91.8416
240,"Springfield, MA",Metropolitan,7,24.36,42.1351,-72.6316
241,"Dover, DE",Metropolitan,7,9.1,39.096,-75.5046
242,"Eau Claire, WI",Metropolitan,7,131.0,44.9388,-91.2822
243,"Charleston, WV",Metropolitan,7,6.9,38.2717,-81.4917
244,"Naples-Marco Island, FL",Metropolitan,7,618.7,26.1004,-81.4445
245,"Mount Vernon-Anacortes, WA",Metropolitan,7,1795.55,48.4821,-121.8016
246,"Rexburg, ID",Micropolitan,7,9.7,44.1405,-111.5172
247,"Prescott Valley-Prescott, AZ",Metropolitan,6,42.85,34.5998,-112.5537
248,"Topeka, KS",Metropolitan,6,37.3,39.0438,-95.8031
249,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan,6,154.03,30.592,-86.3711
250,"Edwards, CO",Micropolitan,6,21.8,39.6278,-106.6953
251,"Truckee-Grass Valley, CA",Micropolitan,6,438.15,39.3014,-120.7688
252,"Grand Junction, CO",Metropolitan,6,335.85,39.0183,-108.4664
253,"Carson City, NV",Metropolitan,6,15.5,39.1511,-119.7476
254,"Monroe, LA",Metropolitan,6,51.77,32.6718,-92.0497
255,"Starkville, MS",Micropolitan,6,12.0,33.515,-89.0734
256,"Moscow, ID",Micropolitan,6,104.8,46.8162,-116.7117
257,"Mount Pleasant, MI",Micropolitan,6,12.5,43.6406,-84.8468
258,"Montrose, CO",Micropolitan,6,266.7,38.4022,-108.2695
259,"Myrtle Beach-Conway-North Myrtle Beach, SC",Metropolitan,6,42.73,33.9045,-78.9762
260,"Rapid City, SD",Metropolitan,6,666.8,44.1915,-102.8999
261,"Modesto, CA",Metropolitan,6,11.93,37.5592,-120.9977
262,"Lima, OH",Metropolitan,6,4.3,40.7715,-84.1058
263,"Cape Girardeau, MO-IL",Metropolitan,6,61.8,37.3245,-89.7698
264,"Killeen-Temple, TX",Metropolitan,6,11.6,31.2078,-97.7876
265,"Hilton Head Island-Bluffton-Port Royal, SC",Metropolitan,6,209.52,32.3845,-80.8347
266,"Brownsville-Harlingen, TX",Metropolitan,6,126.7,26.1509,-97.4521
267,"Waterloo-Cedar Falls, IA",Metropolitan,6,8.2,42.5362,-92.4712
268,"Rolla, MO",Micropolitan,6,69.5,37.8771,-91.7924
269,"Valdosta, GA",Metropolitan,6,3.4,30.8295,-83.2416
270,"Augusta-Waterville, ME",Micropolitan,5,18.35,44.4092,-69.7673
271,"Marion-Herrin, IL",Micropolitan,5,127.95,37.7303,-88.9299
272,"Jackson, MI",Metropolitan,5,108.6,42.2485,-84.4234
273,"Medford, OR",Metropolitan,5,32.55,42.4322,-122.7285
274,"Ruston, LA",Micropolitan,5,9.1,32.6016,-92.6649
275,"Rutland, VT",Micropolitan,5,13.7,43.5802,-73.0364
276,"Hickory-Lenoir-Morganton, NC",Metropolitan,5,1.33,35.8129,-81.4543
277,"Kingsport-Bristol, TN-VA",Metropolitan,5,18.43,36.6078,-82.4426
278,"Abilene, TX",Metropolitan,5,25.9,32.4497,-99.7177
279,"Concord, NH",Micropolitan,5,76.1,43.2975,-71.6803
280,"Tiffin, OH",Micropolitan,5,290.55,41.1239,-83.1277
281,"Tyler, TX",Metropolitan,5,43.5,32.375,-95.2692
282,"Somerset, KY",Micropolitan,5,65.5,37.1039,-84.5772
283,"Muncie, IN",Metropolitan,5,62.9,40.2275,-85.3969
284,"Appleton, WI",Metropolitan,5,21.6,44.289,-88.3712
285,"Williamsport, PA",Metropolitan,5,89.1,41.3434,-77.0645
286,"Gulfport-Biloxi, MS",Metropolitan,5,208.43,30.4836,-89.0006
287,"Salisbury, MD",Metropolitan,5,81.9,38.1949,-75.7654
288,"Sebastian-Vero Beach-West Vero Corridor, FL",Metropolitan,5,34.9,27.6965,-80.5741
289,"Evansville, IN",Metropolitan,5,14.3,38.0488,-87.5818
290,"Winchester, VA-WV",Metropolitan,4,6.0,39.2722,-78.4739
291,"Olean, NY",Micropolitan,4,65.5,42.2487,-78.6788
292,"Athens, OH",Micropolitan,4,24.4,39.3339,-82.0451
293,"Andrews, TX",Micropolitan,4,10.5,32.305,-102.6378
294,"Spearfish, SD",Micropolitan,4,2.5,44.3586,-103.7922
295,"Punta Gorda, FL",Metropolitan,4,29.55,26.8967,-81.9974
296,"Midland, MI",Metropolitan,4,161.4,43.6469,-84.3881
297,"Española, NM",Micropolitan,4,7.1,36.5096,-106.6931
298,"Stevens Point-Plover, WI",Micropolitan,4,154.4,44.476,-89.5014
299,"Staunton-Stuarts Draft, VA",Metropolitan,4,20.6,38.1629,-79.1289
300,"Fairmont, MN",Micropolitan,4,266.8,43.6744,-94.5511
301,"Fayetteville, NC",Metropolitan,4,13.9,35.0371,-78.9804
302,"Ellensburg, WA",Micropolitan,4,5.3,47.1243,-120.6797
303,"Elizabethtown, KY",Metropolitan,4,30.9,37.6531,-85.8852
304,"Batavia, NY",Micropolitan,4,19.3,43.0009,-78.1937
305,"Greeley, CO",Metropolitan,4,75.4,40.5548,-104.3925
306,"Sheridan, WY",Micropolitan,4,8.6,44.79,-106.8794
307,"Bismarck, ND",Metropolitan,4,10.65,46.8841,-100.9786
308,"Chambersburg, PA",Metropolitan,4,4.1,39.9274,-77.7213
309,"Tupelo, MS",Micropolitan,4,631.1,34.3836,-88.5108
310,"Key West-Key Largo, FL",Micropolitan,4,13.4,25.0391,-81.3642
311,"Indiana, PA",Micropolitan,4,22.1,40.652,-79.0876
312,"Hutchinson, KS",Micropolitan,4,5.6,37.953,-98.086
313,"Jonesboro, AR",Metropolitan,4,38.0,35.6982,-90.6484
314,"Johnson City, TN",Metropolitan,4,107.85,36.2537,-82.3344
315,"Greenville, NC",Metropolitan,4,21.5,35.5933,-77.3745
316,"Meadville, PA",Micropolitan,4,10.0,41.6847,-80.1062
317,"Jackson, TN",Metropolitan,4,3.0,35.7463,-88.8811
318,"Vermillion, SD",Micropolitan,4,12.5,42.9146,-96.9756
319,"Kalamazoo-Portage, MI",Metropolitan,4,14.8,42.2455,-85.5312
320,"Brainerd, MN",Micropolitan,4,4.0,46.7991,-94.2434
321,"Los Alamos, NM",Micropolitan,4,70.0,35.8693,-106.3073
322,"Albany, OR",Metropolitan,4,2.0,44.4887,-122.5344
323,"Rockford, IL",Metropolitan,4,7.65,42.3316,-89.0421
324,"Ocala, FL",Metropolitan,4,219.5,29.2102,-82.0567
325,"Wenatchee-East Wenatchee, WA",Metropolitan,4,12.6,47.8185,-120.2656
326,"Weirton-Steubenville, WV-OH",Metropolitan,3,89.3,40.388,-80.7043
327,"Wausau, WI",Metropolitan,3,4.2,44.8983,-89.7591
328,"Lake City, FL",Micropolitan,3,363.7,30.2242,-82.6215
329,"Atlantic City-Hammonton, NJ",Metropolitan,3,293.75,39.2851,-74.7373
330,"Laurinburg, NC",Micropolitan,3,12.7,34.8409,-79.4804
331,"Lexington Park, MD",Metropolitan,3,7.25,38.3153,-76.5295
332,"Lawton, OK",Metropolitan,3,99.0,34.5242,-98.4348
333,"Huntington-Ashland, WV-KY-OH",Metropolitan,3,11.0,38.3587,-82.5685
334,"Marquette, MI",Micropolitan,3,1.5,46.6629,-87.5735
335,"Marietta, OH",Micropolitan,3,1.8,39.4553,-81.4953
336,"Roseburg, OR",Micropolitan,3,43.7,43.2853,-123.1796
337,"Boone, NC",Micropolitan,3,21.5,36.2311,-81.6964
338,"Jackson, WY-ID",Micropolitan,3,21.0,43.9178,-110.6492
339,"Huntsville, TX",Micropolitan,3,27.7,30.739,-95.5723
340,"Joplin, MO-KS",Metropolitan,3,335.5,37.0924,-94.5011
341,"Brookings, SD",Micropolitan,3,4.0,44.3697,-96.7904
342,"Grand Forks, ND-MN",Metropolitan,3,177.3,47.836,-96.8444
343,"Sherman-Denison, TX",Metropolitan,3,3.0,33.6268,-96.6777
344,"Great Falls, MT",Metropolitan,3,142.3,47.308,-111.347
345,"Sevierville, TN",Micropolitan,3,126.5,35.7847,-83.5242
346,"Dubuque, IA",Metropolitan,3,397.7,42.4688,-90.8825
347,"Dothan, AL",Metropolitan,3,3.0,31.2529,-85.4617
348,"Sumter, SC",Metropolitan,3,29.0,33.9162,-80.3823
349,"Portsmouth, OH",Micropolitan,3,48.7,38.8039,-82.9929
350,"Newport, OR",Micropolitan,3,36.0,44.6458,-123.9077
351,"St. Marys, PA",Micropolitan,3,144.0,41.4251,-78.6491
352,"Pottsville, PA",Micropolitan,3,271.0,40.7058,-76.2159
353,"Pocatello, ID",Metropolitan,3,8.7,42.6685,-112.2246
354,"Clarksville, TN-KY",Metropolitan,3,12.0,36.6929,-87.6231
355,"Canton-Massillon, OH",Metropolitan,3,29.7,40.7187,-81.2535
356,"Bangor, ME",Metropolitan,3,8.5,45.4005,-68.6494
